game_id,game_date,home_team,away_team,home_lineup_quality_score,away_lineup_quality_score,lineup_quality_diff,home_top3_available,away_top3_available,home_projected_lineup_available,away_projected_lineup_available,home_confirmed_lineup_available,away_confirmed_lineup_available,lineup_confidence_grade,lineup_context_available,lineup_quality_warning
823939,2026-06-17,Dodgers,Rays,100,100,0,True,True,True,True,True,True,A,True,
823940,2026-06-17,Dodgers,Rays,100,100,0,True,True,True,True,True,True,A,True,
823941,2026-06-07,Dodgers,Angels,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823942,2026-06-07,Dodgers,Angels,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823943,2026-06-06,Dodgers,Angels,100,100,0,True,True,True,True,True,True,A,True,
823944,2026-05-31,Dodgers,Phillies,100,100,0,True,True,True,True,True,True,A,True,
823945,2026-05-31,Dodgers,Phillies,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
823946,2026-05-30,Dodgers,Phillies,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
823947,2026-05-28,Dodgers,Rockies,0,0,0,False,False,False,False,False,False,D,False,confirmed lineup missing | projected lineup incomplete | top3 hitter ids incomplete | top3 savant incomplete
824011,2026-06-28,Angels,Athletics,100,100,0,True,True,True,True,True,True,A,True,
824014,2026-06-27,Angels,Athletics,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824015,2026-06-28,Angels,Athletics,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824016,2026-06-23,Angels,Orioles,100,100,0,True,True,True,True,True,True,A,True,
824017,2026-06-24,Angels,Orioles,100,100,0,True,True,True,True,True,True,A,True,
824018,2026-06-24,Angels,Orioles,100,100,0,True,True,True,True,True,True,A,True,
824019,2026-06-14,Angels,Rays,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824020,2026-06-13,Angels,Rays,100,100,0,True,True,True,True,True,True,A,True,
824021,2026-06-14,Angels,Rays,45,45,0,False,False,True,True,False,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824022,2026-06-11,Angels,Astros,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824023,2026-06-10,Angels,Astros,100,45,55,True,False,True,True,True,False,C,True,confirmed lineup missing | top3 hitter ids incomplete
824024,2026-06-04,Angels,Rockies,100,100,0,True,True,True,True,True,True,A,True,
824025,2026-06-09,Angels,Astros,100,100,0,True,True,True,True,True,True,A,True,
