experiment,fold_id,game_id,game_date,home_team,away_team,research_home_prob,outcome
core_plus__k_pct_diff,1,824266,2026-06-10,Tigers,Twins,0.6696809359401238,0
core_plus__k_pct_diff,1,824348,2026-06-11,Rockies,Cubs,0.14931687919968895,1
core_plus__k_pct_diff,1,824428,2026-06-10,Guardians,Yankees,0.4202439849963096,0
core_plus__k_pct_diff,1,824590,2026-06-10,White Sox,Braves,0.5048802515067836,1
core_plus__k_pct_diff,1,824831,2026-06-10,Orioles,Mariners,0.3512237569067741,1
core_plus__k_pct_diff,1,824996,2026-06-11,Athletics,Brewers,0.5272881652368271,1
core_plus__k_pct_diff,1,823371,2026-06-11,Pirates,Dodgers,0.41297449548068427,0
core_plus__k_pct_diff,1,823619,2026-06-11,Mets,Cardinals,0.5518223923895144,1
core_plus__k_pct_diff,1,823855,2026-06-11,Marlins,D-backs,0.7848134121325749,1
core_plus__k_pct_diff,1,824101,2026-06-11,Royals,Rangers,0.3951889525486387,0
core_plus__k_pct_diff,1,824265,2026-06-11,Tigers,Twins,0.6202536933796104,1
core_plus__k_pct_diff,1,824346,2026-06-11,Rockies,Cubs,0.25619390112621787,0
core_plus__k_pct_diff,1,824827,2026-06-11,Orioles,Mariners,0.35458071678219166,1
core_plus__k_pct_diff,1,822726,2026-06-12,Nationals,Mariners,0.26318317752958903,0
core_plus__k_pct_diff,1,822803,2026-06-12,Blue Jays,Yankees,0.3345011672821626,1
core_plus__k_pct_diff,1,823211,2026-06-13,Giants,Cubs,0.60420909003687,0
core_plus__k_pct_diff,1,823370,2026-06-12,Pirates,Marlins,0.5676288782725833,0
core_plus__k_pct_diff,1,823617,2026-06-12,Mets,Braves,0.5859043079436028,1
core_plus__k_pct_diff,1,823695,2026-06-13,Twins,Cardinals,0.4448020211603897,1
core_plus__k_pct_diff,1,823778,2026-06-12,Brewers,Phillies,0.524387435289061,1
core_plus__k_pct_diff,2,824020,2026-06-13,Angels,Rays,0.48523005156479804,1
core_plus__k_pct_diff,2,824102,2026-06-13,Royals,Astros,0.4766252608344488,0
core_plus__k_pct_diff,2,824425,2026-06-12,Guardians,Tigers,0.5108101894569825,1
core_plus__k_pct_diff,2,824507,2026-06-12,Reds,D-backs,0.3788551111097022,0
core_plus__k_pct_diff,2,824588,2026-06-12,White Sox,Dodgers,0.4994582139502797,1
core_plus__k_pct_diff,2,824752,2026-06-12,Red Sox,Rangers,0.4485080119213462,1
core_plus__k_pct_diff,2,824826,2026-06-12,Orioles,Padres,0.6405166441541535,1
core_plus__k_pct_diff,2,824997,2026-06-13,Athletics,Rockies,0.5087518553595616,1
core_plus__k_pct_diff,2,822725,2026-06-13,Nationals,Mariners,0.5858730387752679,1
core_plus__k_pct_diff,2,822802,2026-06-13,Blue Jays,Yankees,0.3668351490987209,0
core_plus__k_pct_diff,2,823213,2026-06-14,Giants,Cubs,0.4516244042460687,0
core_plus__k_pct_diff,2,823369,2026-06-13,Pirates,Marlins,0.45226606203786024,1
core_plus__k_pct_diff,2,823616,2026-06-13,Mets,Braves,0.634243666622004,0
core_plus__k_pct_diff,2,823694,2026-06-13,Twins,Cardinals,0.4995084399986608,0
core_plus__k_pct_diff,2,823776,2026-06-13,Brewers,Phillies,0.5386537124747537,0
core_plus__k_pct_diff,2,824019,2026-06-14,Angels,Rays,0.5440498575062979,1
core_plus__k_pct_diff,2,824100,2026-06-13,Royals,Astros,0.5225445994780328,0
core_plus__k_pct_diff,2,824426,2026-06-13,Guardians,Tigers,0.39265634210595757,1
core_plus__k_pct_diff,2,824508,2026-06-13,Reds,D-backs,0.40298311010026366,1
core_plus__k_pct_diff,2,824587,2026-06-13,White Sox,Dodgers,0.49409700150129704,0
core_plus__k_pct_diff,2,824749,2026-06-13,Red Sox,Rangers,0.39478549538048385,1
core_plus__k_pct_diff,2,824828,2026-06-13,Orioles,Padres,0.504994982348389,0
core_plus__k_pct_diff,2,824995,2026-06-14,Athletics,Rockies,0.5083220665730772,1
core_plus__k_pct_diff,2,822722,2026-06-14,Nationals,Mariners,0.3755907223322061,1
core_plus__k_pct_diff,2,822801,2026-06-14,Blue Jays,Yankees,0.3655656389524175,0
core_plus__k_pct_diff,2,823212,2026-06-14,Giants,Cubs,0.6174367139690954,1
core_plus__k_pct_diff,2,823368,2026-06-14,Pirates,Marlins,0.5719163093067063,0
core_plus__k_pct_diff,2,823615,2026-06-14,Mets,Braves,0.599955608880135,1
core_plus__k_pct_diff,2,823693,2026-06-14,Twins,Cardinals,0.4925226880870785,1
core_plus__k_pct_diff,2,823777,2026-06-14,Brewers,Phillies,0.3808554280056912,1
core_plus__k_pct_diff,2,824021,2026-06-14,Angels,Rays,0.474385505086954,0
core_plus__k_pct_diff,2,824099,2026-06-14,Royals,Astros,0.3775295302845171,1
core_plus__k_pct_diff,2,824506,2026-06-14,Reds,D-backs,0.562814772021768,0
core_plus__k_pct_diff,2,824586,2026-06-14,White Sox,Dodgers,0.5062830291414161,1
