candidate,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
logistic_core_c0.05_balanced,3,823449,2026-06-21,Phillies,Mets,0.5756848111132152,1
logistic_core_c0.05_balanced,3,823531,2026-06-21,Yankees,Reds,0.4121360890591597,0
logistic_core_c0.05_balanced,3,823852,2026-06-21,Marlins,Giants,0.42196975451912155,1
logistic_core_c0.05_balanced,3,823934,2026-06-21,Dodgers,Orioles,0.4726698014827282,0
logistic_core_c0.05_balanced,3,824095,2026-06-21,Royals,Cardinals,0.5059801898295357,0
logistic_core_c0.05_balanced,3,824177,2026-06-21,Astros,Guardians,0.5121596533161576,1
logistic_core_c0.05_balanced,3,824260,2026-06-21,Tigers,White Sox,0.5090216076846069,1
logistic_core_c0.05_balanced,3,824343,2026-06-21,Rockies,Pirates,0.36316948655671943,0
logistic_core_c0.05_balanced,3,824908,2026-06-21,Braves,Brewers,0.5590009584686939,0
logistic_core_c0.05_balanced,3,824987,2026-06-21,Athletics,Angels,0.4560997910433632,0
logistic_core_c0.05_balanced,3,825067,2026-06-21,D-backs,Twins,0.4522065760282947,0
logistic_core_c0.05_balanced,3,822720,2026-06-22,Nationals,Phillies,0.5468141513143479,1
logistic_core_c0.05_balanced,3,822800,2026-06-22,Blue Jays,Astros,0.40930692018386966,1
logistic_core_c0.05_balanced,3,822964,2026-06-22,Rays,Royals,0.571409950045861,0
logistic_core_c0.05_balanced,3,823040,2026-06-22,Cardinals,D-backs,0.6162981705307855,1
logistic_core_c0.05_balanced,3,823288,2026-06-23,Padres,Braves,0.5301653986587747,1
logistic_core_c0.05_balanced,3,823613,2026-06-22,Mets,Cubs,0.40100706320110213,0
logistic_core_c0.05_balanced,3,823692,2026-06-22,Twins,Dodgers,0.5366110219222735,0
logistic_core_c0.05_balanced,3,823851,2026-06-22,Marlins,Rangers,0.5495211543688601,0
logistic_core_c0.05_balanced,3,824016,2026-06-23,Angels,Orioles,0.49026496651638013,0
logistic_core_c0.05_balanced,3,824261,2026-06-22,Tigers,Yankees,0.48073807999113255,1
logistic_core_c0.05_balanced,3,824344,2026-06-23,Rockies,Red Sox,0.4104946391558755,1
logistic_core_c0.05_balanced,3,824502,2026-06-22,Reds,Brewers,0.46843192719195137,0
